country,top_100,top_300,from_101_to_300
USA,50,96,46
Iran,0,0,0
Oman,0,0,0
Peru,0,0,0
Chile,0,0,0
China,5,32,27
Egypt,0,0,0
Ghana,0,0,0
India,0,0,0
Italy,0,9,9
Japan,4,11,7
Kenya,0,0,0
Malta,0,0,0
Nepal,0,0,0
Qatar,0,0,0
Spain,0,5,5
Brazil,0,1,1
Canada,4,12,8
Cyprus,0,0,0
France,5,16,11
Greece,0,1,1
Israel,2,4,2
Jordan,0,0,0
Kuwait,0,0,0
Latvia,0,0,0
Malawi,0,0,0
Mexico,0,1,1
Norway,1,3,2
Poland,0,0,0
Russia,0,2,2
Serbia,0,0,0
Sweden,2,6,4
Taiwan,1,1,0
Turkey,0,0,0
Uganda,0,0,0
Zambia,0,0,0
Algeria,0,0,0
Armenia,0,0,0
Austria,0,2,2
Belarus,0,0,0
Belgium,0,6,6
Croatia,0,0,0
Denmark,1,3,2
Ecuador,0,0,0
Estonia,0,0,0
Finland,0,1,1
Georgia,0,0,0
Germany,6,21,15
Hungary,0,0,0
Iceland,0,0,0
Ireland,0,2,2
Lebanon,0,0,0
Morocco,0,0,0
Nigeria,0,0,0
Romania,0,0,0
Tunisia,0,0,0
Ukraine,0,0,0
Uruguay,0,0,0
Vietnam,0,0,0
Bulgaria,0,0,0
Cameroon,0,0,0
Colombia,0,0,0
Ethiopia,0,0,0
Malaysia,0,0,0
Pakistan,0,0,0
Portugal,0,1,1
Slovenia,0,0,0
Tanzania,0,0,0
Thailand,0,0,0
Zimbabwe,0,0,0
Argentina,0,0,0
Australia,2,8,6
Indonesia,0,0,0
Lithuania,0,0,0
Palestine,0,0,0
Singapore,1,2,1
Sri Lanka,0,0,0
Venezuela,0,0,0
Azerbaijan,0,0,0
Bangladesh,0,0,0
Costa Rica,0,0,0
Kazakhstan,0,0,0
Luxembourg,0,0,0
Netherlands,4,10,6
New Zealand,0,1,1
Philippines,0,0,0
South Korea,1,5,4
Switzerland,2,7,5
Saudi Arabia,0,2,2
South Africa,0,2,2
Czech Republic,0,1,1
United Kingdom,9,26,17
North Macedonia,0,0,0
Northern Cyprus,0,0,0
Slovak Republic,0,0,0
United Arab Emirates,0,0,0